NOM COMPLET,CODE FVF,INDIC_ZH
Helosciadium inundatum (L.) W. D. J. Koch.,101220,Oui
Helosciadium nodiflorum (L.) W. D. J. Koch.,101221,Oui
Helosciadium repens (Jacq.) W. D. J. Koch.,101223,Oui
Hibiscus palustris L.,101538,Oui
Hierochloe odorata (L.) P. Beauv.,102794,Oui
Hippophae rhamnoides L. subsp. fluviatilis Soest.,136646,Oui
Hordeum marinum Huds.,102968,Oui
Humulus lupulus L.,103031,Oui
Humulus scandens (Lour.) Merr.,103032,Oui
Hydrocotyle ranunculoides Lf.,103139,Oui
Hydrocotyle vulgaris L.,103142,Oui
Hymenolobus procumbens (L.) Nutt. ex-Schinz & Thell.,103170,Oui
Hymenophyllum tunbrigense (L.) Sm.,103173,Oui
Hymenophyllum wilsonii Hook.,103175,Oui
Hypericum androsaemum L.,103245,Oui
Hypericum desetangsii Lamotte.,103267,Oui
Hypericum elodes L.,103272,Oui
Hypericum humifusum L.,103288,Oui
Hypericum maculatum Crantz subsp. obtusiusculum (Tourlet) Hayek.,136751,Oui
Hypericum tetrapterum Fr.,103329,Oui
Hypericum tomentosum L.,103330,Oui
Illecebrum verticillatum L.,103536,Oui
Impatiens capensis Meerb.,103545,Oui
Impatiens glandulifera Royle.,103547,Oui
Impatiens noli-tangere L.,103553,Oui
Imperata cylindrica (L.) Rausch.,103562,Oui
Inula britannica L.,103598,Oui
Inula crithmoides L.,103614,Oui
Inula helvetica Weber.,103628,Oui
Iris pseudacorus L.,103772,Oui
Iris sibirica L.,103777,Oui
Iris xiphium L.,103800,Oui
Isoetes boryana Durieu.,103832,Oui
Isoetes duriei Bory.,103840,Oui
Isoetes echinospora Durieu.,103841,Oui
Isoetes histrix Bory.,103842,Oui
Isoetes lacustris L.,103843,Oui
Isoetes setacea Lam.,103846,Oui
Isoetes velata A. Braun.,103852,Oui
Isolepis cernua (Vahl) Roem. & Schult.,103857,Oui
Isolepis pseudosetacea (Daveau) Vasc.,103887,Oui
Isolepis setacea (L.) R. Br.,103898,Oui
Juncellus laevigatus (L.) C. B. Clarke.,104084,Oui
Juncellus serotinus (Rottb.) C. B. Clarke.,104085,Oui
Juncus acutiflorus Ehrh. ex-Hoffm.,104101,Oui
Juncus acutus L.,104104,Oui
Juncus alpinoarticulatus Chaix.,104111,Oui
Juncus ambiguus Guss.,104114,Oui
Juncus anceps Laharpe.,104115,Oui
Juncus arcticus Willd.,104123,Oui
Juncus articulatus L.,104126,Oui
Juncus bufonius L.,104144,Oui
Juncus bulbosus L.,104145,Oui
Juncus capitatus Weigel.,104148,Oui
Juncus compressus Jacq.,104155,Oui
Juncus conglomeratus L.,104160,Oui
Juncus effusus L.,104173,Oui
Juncus filiformis L.,104183,Oui
Juncus foliosus Desf.,104189,Oui
Juncus fontanesii J. Gay.,104192,Oui
